1.0.1	pṛthvī [17: jsjsylg]
7.2.64	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.65	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.67	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.2.68	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.69	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.70	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.2.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.73	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.2.74	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.2.75	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.76	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.77	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.78	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.2.79	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.2.80	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.2.81	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.2.82	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.2.83	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.84	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.2.85	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.86	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.2.87	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.88	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.89	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.2.90	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.91	anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)
7.2.92	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.2.93	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.94	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.95	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.96	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.97	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.98	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.2.99	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.100	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.101	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.102	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.103	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.2.104	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.105	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.106	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.107	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.2.108	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.109	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.110	anuṣṭubh (1,2: na-vipulā, 3,4: ra-vipulā)
7.2.111	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.2.112	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.113	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.114	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.115	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.116	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.117	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.118	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.2.119	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.2.120	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.121	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.2.122	anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)
7.2.123	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.2.124	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.125	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.2.126	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.2.127	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.128	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.129	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.130	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.131	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.132	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.2.133	puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4
7.2.134	śālinī [11: mttgg]
7.2.135	āryā (12, 18, 12, 15)
7.3.1	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.2	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.4	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.10	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.11	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.12	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.13	anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)
7.3.14	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.15	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.16	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.17	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.20	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.21	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.22	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.26	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.27	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.31	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.36	anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)
7.3.37	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.38	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.39	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.40	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.41	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.43	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.44	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.45	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.47	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.48	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.49	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.50	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.51	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.52	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.53	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.54	anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)
7.3.55	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.3.56	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.58	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.59	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.60	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.61	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.62	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.63	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.64	anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)
7.3.65	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.68	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.69	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.73	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.75	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.76	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.77	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.78	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.79	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.80	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.81	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.82	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.83	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.84	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.3.85	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.86	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.87	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.88	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.89	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.90	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.91	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.92	anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)
7.3.93	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.94	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.95	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.96	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.97	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.98	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.99	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.100	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.101	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.102	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.103	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.104	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.105	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.106	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.107	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.108	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.109	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.110	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.111	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.112	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.113	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.114	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.115	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.116	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.117	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.118	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.119	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.120	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.121	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.122	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.123	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.124	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.125	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.3.126	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.127	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.128	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.129	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.130	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.131	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.132	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.133	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.134	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.135	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.136	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.137	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.138	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.139	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.140	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.141	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.142	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.143	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.144	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.145	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.146	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.147	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.148	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.149	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.150	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.151	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.152	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.153	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.154	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.155	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.156	anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)
7.3.157	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.158	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.159	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.160	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.161	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.162	anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)
7.3.163	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.164	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.165	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.166	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.167	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.168	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.169	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.170	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.171	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.172	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.173	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.174	anuṣṭubh (1,2: bha-vipulā, 3,4: bha-vipulā)
7.3.175	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.176	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.177	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.178	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.179	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.3.180	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.181	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
7.3.182	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.183	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.184	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.185	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.3.186	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.187	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.188	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.189	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.190	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.191	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.192	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.193	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.194	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.195	anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)
7.3.196	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.197	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.3.198	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.199	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.200	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.201	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.202	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.203	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.204	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.205	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.206	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.207	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.208	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.209	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.210	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.211	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.212	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.213	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.214	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.3.215	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.216	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.217	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.218	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.3.219	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.220	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.221	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.222	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.223	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.224	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.225	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.226	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.227	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.228	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.229	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.230	anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)
7.3.231	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.232	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.233	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.234	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.235	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.3.236	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.237	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.3.238	āryā (12, 18, 12, 15)
7.3.239	āryā (12, 18, 12, 15)
7.3.240	śikhariṇī [17: ymnsBlg]
7.3.241	śālinī [11: mttgg]
7.3.242	vasantatilakā [14: tBjjgg]
7.3.243	vasantatilakā [14: tBjjgg]
7.3.244	āryā (12, 18, 12, 15)
7.4.1	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.9	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.10	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.12	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.14	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.15	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.4.16	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.17	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.18	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.20	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.21	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.22	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.27	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.31	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.32	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.37	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.38	anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)
7.4.39	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.40	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.41	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.43	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.4.44	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
7.4.45	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.47	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.48	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.49	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.50	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.51	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.52	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.53	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.54	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.55	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.56	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.58	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.59	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
7.4.60	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.61	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.4.62	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.63	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.64	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.65	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.68	anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)
7.4.69	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.72	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
7.4.73	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
7.4.75	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
7.4.76	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
7.4.77	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
