anuṣṭubh (1,2: pathyā, 3,4: pathyā)	433
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	425
rathoddhatā [11: rnrlg]	120
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	72
indravajrā [11: ttjgg]	66
vaṃśastha [12: jtjr]	63
drutavilambita [12: nBBr]	48
vasantatilakā [14: tBjjgg]	40
		upajāti triṣṭubh: ajñātam [11: tmjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jtjlg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		ajñātasamavṛtta [10: ysjg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [ssjBl, Brlg]	1
āryā (12, 18, 12, 15)	1
		ajñātasamavṛtta [11: sBrlg] (? 3 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [9: tjr] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [11: ssjgl] (? 2 eva pādāḥ yuktāḥ)	1
toṭaka [12: ssss]	1
		ajñātasamavṛtta [13: Bjjjg] (? 2 eva pādāḥ yuktāḥ)	1
śālinī [11: mttgg]	1
mañjubhāṣiṇī [13: sjsjg]	1
		ajñātārdhasamavṛtta [nnrynll, sjgg]	1
āryāgīti (12, 20, 12, 20)	1
mattamayūra [13: mtysg]	1
		rucirā [13: jBsjg] (? 3 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)	1
		ajñātasamavṛtta [10: rsjg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: BBrlg], rathoddhatā [11: rnrlg]	1
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	1
nārāca [18: nnrrrr]	1
		upajāti triṣṭubh: ajñātam [11: jtylg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: Btjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: Btjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jttgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: ttylg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: mtjgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: upendravajrā [11: jtjgg], ajñātam [11: jtsgg]	1
		upajāti triṣṭubh: ajñātam [11: ttngg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: tBjgg], upendravajrā [11: jtjgg]	1
		ajñātasamavṛtta [10: rBrg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: trtgl], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jtngg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: tBjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: rnrgg], rathoddhatā [11: rnrlg]	1
		upajāti triṣṭubh: ajñātam [11: snrll], rathoddhatā [11: rnrlg]	1
		upajāti triṣṭubh: ajñātam [11: rjrlg], rathoddhatā [11: rnrlg]	1
		ajñātārdhasamavṛtta [rnrl, ttrlg]	1
		upajāti anuṣṭubh: ajñātam [8: mslg], ajñātam [8: mrlg], ajñātam [8: jsgl], ajñātam [8: jrgg]	1
		upajāti triṣṭubh: ajñātam [11: jBrlg], ajñātam [11: msjgl], rathoddhatā [11: rnrlg]	1
